sessionStart,sessionEnd,durationHours
2025-03-14T12:35:41.021Z,2025-03-14T12:36:00.370Z,0.01
2025-03-14T12:36:00.370Z,2025-03-14T12:36:29.941Z,0.01
2025-03-14T12:36:29.941Z,2025-03-14T12:36:51.470Z,0.01
2025-03-14T12:36:51.470Z,2025-03-14T12:38:04.519Z,0.02
2025-03-14T12:38:04.519Z,2025-03-14T12:38:08.469Z,0.00
2025-03-14T12:38:08.469Z,2025-03-14T12:54:25.291Z,0.27
2025-03-14T12:54:25.291Z,2025-03-14T13:27:35.482Z,0.55
2025-03-14T13:27:35.482Z,2025-03-14T13:28:21.963Z,0.01
2025-03-14T13:28:21.963Z,2025-03-14T13:30:07.973Z,0.03
2025-03-14T13:30:07.973Z,2025-03-14T13:31:17.050Z,0.02
2025-03-14T13:31:17.050Z,2025-03-14T13:32:11.781Z,0.02
2025-03-14T13:32:11.781Z,2025-03-14T14:42:54.721Z,1.18
2025-03-14T14:42:54.721Z,2025-03-14T14:43:19.983Z,0.01
2025-03-14T14:43:19.983Z,2025-03-14T14:43:25.471Z,0.00
2025-03-14T14:43:25.471Z,2025-03-14T14:44:53.814Z,0.02
2025-03-14T14:44:53.814Z,2025-03-14T14:45:48.044Z,0.02
2025-03-14T14:45:48.044Z,2025-03-14T14:46:03.632Z,0.00
2025-03-14T14:46:03.632Z,2025-03-14T14:46:49.261Z,0.01
2025-03-14T14:46:49.261Z,2025-03-14T14:48:36.333Z,0.03
2025-03-14T14:48:36.333Z,2025-03-14T14:50:01.425Z,0.02
2025-03-14T14:50:01.425Z,2025-03-14T14:50:42.388Z,0.01
2025-03-14T14:50:42.388Z,2025-03-14T14:53:11.510Z,0.04
2025-03-14T14:53:11.510Z,2025-03-14T14:53:18.962Z,0.00
2025-03-14T14:53:18.962Z,2025-03-14T14:55:04.966Z,0.03
2025-03-14T14:55:04.966Z,2025-03-14T14:55:23.282Z,0.01
2025-03-14T14:55:23.282Z,2025-03-14T14:56:33.231Z,0.02
2025-03-14T14:56:33.231Z,2025-03-14T14:56:47.732Z,0.00
